namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,356230322273
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,337468258990
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,640554747273
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,171480190581.56
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Anggaran,171170332800
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Realisasi,171170332800
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,248917013352
Provinsi Bali,Provinsi Bali,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,142021132218
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,953693248600
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,527994756215.3
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,60931286200
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,34667519557
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,10527934600
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,8740777013.19
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,71321248500
