namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Umum,Anggaran,3820383210000
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Umum,Realisasi,3811109312964
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Bagi Hasil,Anggaran,770426526000
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Bagi Hasil,Realisasi,768146404800
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Insentif Daerah,Anggaran,37997568000
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Insentif Daerah,Realisasi,28732723500
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Khusus Fisik,Anggaran,622624440000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Khusus Fisik,Realisasi,471036174566
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Khusus Nonfisik,Anggaran,3798852494000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Khusus Nonfisik,Realisasi,3503547795692
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Umum,Anggaran,4247662929000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Alokasi Umum,Realisasi,4191772599421
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Bagi Hasil,Anggaran,2321067956000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Bagi Hasil,Realisasi,2321067956000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Insentif Daerah,Anggaran,17964673000
Provinsi Jawa Timur,Provinsi Jawa Timur,2024,Dana Insentif Daerah,Realisasi,12226983000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,273034644000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,198796864208
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,605677561000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,563884864887
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Umum,Anggaran,1871326454000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Alokasi Umum,Realisasi,1758123299659
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Bagi Hasil,Anggaran,267553165000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Bagi Hasil,Realisasi,160536233295
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Insentif Daerah,Anggaran,19423433000
Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,2024,Dana Insentif Daerah,Realisasi,13929756500
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Khusus Fisik,Anggaran,256003229000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Khusus Fisik,Realisasi,150101479480
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Khusus Nonfisik,Anggaran,455658938000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Khusus Nonfisik,Realisasi,406382577451
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Umum,Anggaran,1218427652000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Alokasi Umum,Realisasi,1214896912990
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Bagi Hasil,Anggaran,3141363610000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Bagi Hasil,Realisasi,3141359943000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Insentif Daerah,Anggaran,14745157000
Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,2024,Dana Insentif Daerah,Realisasi,11590618500
