namapemda,provinsi,tahun,name,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Realisasi,603865912855.49
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Anggaran,1096473717900.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Realisasi,603865912855.49
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Anggaran,1460629532000.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Realisasi,1181038370658.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Anggaran,1460629532000.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Realisasi,1181038370658.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Anggaran,1460629532000.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,42. TKDD,Realisasi,1181038370658.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Anggaran,957274358258.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Realisasi,828570754614.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Anggaran,957274358258.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Realisasi,828570754614.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Anggaran,957274358258.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,51. Belanja Pegawai,Realisasi,828570754614.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Anggaran,970120569560.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Realisasi,457469613501.47
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Anggaran,970120569560.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Realisasi,457469613501.47
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Anggaran,970120569560.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,52. Belanja Barang dan Jasa,Realisasi,457469613501.47
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Anggaran,351757196118.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Realisasi,101399460098.15
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Anggaran,351757196118.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Realisasi,101399460098.15
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Anggaran,351757196118.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,53. Belanja Modal,Realisasi,101399460098.15
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Anggaran,728398497116.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Realisasi,415133465721.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Anggaran,728398497116.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Realisasi,415133465721.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Anggaran,728398497116.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,54. Belanja Lainnya,Realisasi,415133465721.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,548640422344.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,288315930818.87
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,548640422344.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,288315930818.87
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,548640422344.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,288315930818.87
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,98193051192.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,65788631867.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,98193051192.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,65788631867.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,98193051192.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,65788631867.0
Provinsi Banten,Provinsi Banten,2024,41. PAD,Anggaran,9211948237039.0
Provinsi Banten,Provinsi Banten,2024,41. PAD,Realisasi,7352992525224.2
Provinsi Banten,Provinsi Banten,2024,41. PAD,Anggaran,9211948237039.0
Provinsi Banten,Provinsi Banten,2024,41. PAD,Realisasi,7352992525224.2
Provinsi Banten,Provinsi Banten,2024,41. PAD,Anggaran,9211948237039.0
Provinsi Banten,Provinsi Banten,2024,41. PAD,Realisasi,7352992525224.2
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Anggaran,3189827239115.0
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Realisasi,2898105745489.0
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Anggaran,3189827239115.0
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Realisasi,2898105745489.0
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Anggaran,3189827239115.0
Provinsi Banten,Provinsi Banten,2024,42. TKDD,Realisasi,2898105745489.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Anggaran,6430560000.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Realisasi,5358800000.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Anggaran,6430560000.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Realisasi,5358800000.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Anggaran,6430560000.0
Provinsi Banten,Provinsi Banten,2024,43. Pendapatan Lainnya,Realisasi,5358800000.0
