,kode_wilayah,wilayah,tahun,nilai
55,6200,Provinsi Kalimantan Tengah,2020,1240949316408.0
56,6400,Provinsi Kalimantan Timur,2020,7166258236648.0
57,6500,Provinsi Kalimantan Utara,2020,713110254948.0
58,2100,Provinsi Kepulauan Riau,2020,922290550186.0
59,1800,Provinsi Lampung,2020,323517568523.0
60,8100,Provinsi Maluku,2020,173810715690.0
61,8200,Provinsi Maluku Utara,2020,337623010158.0
62,5200,Provinsi Nusa Tenggara Barat,2020,506955444941.0
63,5300,Provinsi Nusa Tenggara Timur,2020,138971285777.0
64,9400,Provinsi Papua,2020,1589297232524.0
65,9200,Provinsi Papua Barat,2020,4522929489522.0
66,9100,Provinsi Papua Barat,2020,4522929489522.0
67,1400,Provinsi Riau,2020,3684339679440.0
68,7600,Provinsi Sulawesi Barat,2020,34204699776.0
69,7300,Provinsi Sulawesi Selatan,2020,559289677390.0
70,7200,Provinsi Sulawesi Tengah,2020,566793536857.0
71,7400,Provinsi Sulawesi Tenggara,2020,486966135904.0
72,7100,Provinsi Sulawesi Utara,2020,225905399028.0
73,1300,Provinsi Sumatera Barat,2020,296265414957.0
74,1600,Provinsi Sumatera Selatan,2020,3912868208722.0
75,1200,Provinsi Sumatera Utara,2020,950683669937.0
76,1100,Provinsi Aceh,2021,463749456005.0
77,5100,Provinsi Bali,2021,434806496742.0
78,1900,Provinsi Bangka Belitung,2021,489178936558.0
79,3600,Provinsi Banten,2021,1770843761966.0
80,1700,Provinsi Bengkulu,2021,181480562874.0
81,3400,Provinsi DI Yogyakarta,2021,267078328036.0
82,3100,Provinsi DKI Jakarta,2021,39735134166948.0
83,7500,Provinsi Gorontalo,2021,58100287798.0
84,1500,Provinsi Jambi,2021,976681307346.0
85,3200,Provinsi Jawa Barat,2021,5233856142202.0
86,9700,Provinsi Jawa Tengah,2021,2098285981810.0
87,9600,Provinsi Jawa Tengah,2021,2098285981810.0
88,3300,Provinsi Jawa Tengah,2021,2098285981810.0
89,3500,Provinsi Jawa Timur,2021,6613244895771.0
90,6100,Provinsi Kalimantan Barat,2021,896965890893.0
91,6300,Provinsi Kalimantan Selatan,2021,1737559677976.0
92,9500,Provinsi Kalimantan Selatan,2021,1737559677976.0
93,6200,Provinsi Kalimantan Tengah,2021,1682425739818.0
94,6400,Provinsi Kalimantan Timur,2021,5313842470480.0
95,6500,Provinsi Kalimantan Utara,2021,769049546426.0
96,2100,Provinsi Kepulauan Riau,2021,933768334720.0
97,1800,Provinsi Lampung,2021,458054109095.0
98,8100,Provinsi Maluku,2021,201459838250.0
99,8200,Provinsi Maluku Utara,2021,576700751584.0
100,5200,Provinsi Nusa Tenggara Barat,2021,583578805656.0
101,5300,Provinsi Nusa Tenggara Timur,2021,158235133796.0
102,9400,Provinsi Papua,2021,2203286476890.0
103,9200,Provinsi Papua Barat,2021,2001710262716.0
104,9100,Provinsi Papua Barat,2021,2001710262716.0
105,1400,Provinsi Riau,2021,3884845623682.0
106,7600,Provinsi Sulawesi Barat,2021,47331883004.0
107,7300,Provinsi Sulawesi Selatan,2021,698000486195.0
108,7200,Provinsi Sulawesi Tengah,2021,850516068188.0
109,7400,Provinsi Sulawesi Tenggara,2021,887189910242.0
110,7100,Provinsi Sulawesi Utara,2021,442223295026.0
111,1300,Provinsi Sumatera Barat,2021,375507372939.0
112,1600,Provinsi Sumatera Selatan,2021,3873850161494.0
113,1200,Provinsi Sumatera Utara,2021,1607540336467.0
114,1100,Provinsi Aceh,2022,792806855465.0
115,5100,Provinsi Bali,2022,360847309533.0
116,1900,Provinsi Bangka Belitung,2022,1137986482119.0
117,3600,Provinsi Banten,2022,1590028199719.0
118,1700,Provinsi Bengkulu,2022,277793792811.0
119,3400,Provinsi DI Yogyakarta,2022,226317997546.0
120,3100,Provinsi DKI Jakarta,2022,33873215479896.0
121,7500,Provinsi Gorontalo,2022,51168921676.0
122,1500,Provinsi Jambi,2022,1385057581026.0
123,3200,Provinsi Jawa Barat,2022,4667471216706.0
124,9700,Provinsi Jawa Tengah,2022,1989475276366.0
125,9600,Provinsi Jawa Tengah,2022,1989475276366.0
126,3300,Provinsi Jawa Tengah,2022,1989475276366.0
127,3500,Provinsi Jawa Timur,2022,7534495970275.0
128,6100,Provinsi Kalimantan Barat,2022,885701498018.0
129,6300,Provinsi Kalimantan Selatan,2022,6424185606664.0
130,9500,Provinsi Kalimantan Selatan,2022,6424185606664.0
131,6200,Provinsi Kalimantan Tengah,2022,2851408525554.0
132,6400,Provinsi Kalimantan Timur,2022,15122644329222.0
133,6500,Provinsi Kalimantan Utara,2022,1393545992131.0
134,2100,Provinsi Kepulauan Riau,2022,1385713501518.0
135,1800,Provinsi Lampung,2022,548466582627.0
136,8100,Provinsi Maluku,2022,228386236496.0
137,8200,Provinsi Maluku Utara,2022,1001506661509.0
138,5200,Provinsi Nusa Tenggara Barat,2022,1027057691721.0
139,5300,Provinsi Nusa Tenggara Timur,2022,140747307191.0
140,9400,Provinsi Papua,2022,4421674710127.0
141,9200,Provinsi Papua Barat,2022,6858837338776.0
142,9100,Provinsi Papua Barat,2022,6858837338776.0
143,1400,Provinsi Riau,2022,4157451045839.0
144,7600,Provinsi Sulawesi Barat,2022,39111896329.0
145,7300,Provinsi Sulawesi Selatan,2022,820126872483.0
146,7200,Provinsi Sulawesi Tengah,2022,1126081566362.0
147,7400,Provinsi Sulawesi Tenggara,2022,1525299436875.0
148,7100,Provinsi Sulawesi Utara,2022,573951439286.0
149,1300,Provinsi Sumatera Barat,2022,389061924327.0
150,1600,Provinsi Sumatera Selatan,2022,5721366494655.0
151,1200,Provinsi Sumatera Utara,2022,1566913646088.0
152,1100,Provinsi Aceh,2023,907166096300.0
153,5100,Provinsi Bali,2023,342128398200.0
154,1900,Provinsi Bangka Belitung,2023,646336759000.0
155,3600,Provinsi Banten,2023,1928904389000.0
156,1700,Provinsi Bengkulu,2023,264395903850.0
157,3400,Provinsi DI Yogyakarta,2023,245090601000.0
158,3100,Provinsi DKI Jakarta,2023,42032424728000.0
159,7500,Provinsi Gorontalo,2023,55417011320.0
160,1500,Provinsi Jambi,2023,989978338735.0
161,3200,Provinsi Jawa Barat,2023,4935056894000.0
162,9700,Provinsi Jawa Tengah,2023,1943300786000.0
163,9600,Provinsi Jawa Tengah,2023,1943300786000.0
164,3300,Provinsi Jawa Tengah,2023,1943300786000.0
165,3500,Provinsi Jawa Timur,2023,6509040328500.0
166,6100,Provinsi Kalimantan Barat,2023,893672207020.0
167,6300,Provinsi Kalimantan Selatan,2023,7482345679000.0
168,9500,Provinsi Kalimantan Selatan,2023,7482345679000.0
169,6200,Provinsi Kalimantan Tengah,2023,5639561051000.0
170,6400,Provinsi Kalimantan Timur,2023,17761543893000.0
171,6500,Provinsi Kalimantan Utara,2023,2000347327000.0
172,2100,Provinsi Kepulauan Riau,2023,1298199598125.0
173,1800,Provinsi Lampung,2023,414740430300.0
174,8100,Provinsi Maluku,2023,155567812000.0
