wilayah_kode,wilayah,tahun,value
6100,KALIMANTAN BARAT,2017,0.274
3200,JAWA BARAT,2017,0.399
1200,SUMATERA UTARA,2017,0.256
1700,BENGKULU,2017,0.349
6400,KALIMANTAN TIMUR,2017,0.33
8200,MALUKU UTARA,2017,0.277
3300,JAWA TENGAH,2017,0.383
3400,DI YOGYAKARTA,2017,0.317
7600,SULAWESI BARAT,2017,0.323
1700,BENGKULU,2017,0.351
1300,SUMATERA BARAT,2017,0.312
3600,BANTEN,2017,0.267
9100,PAPUA BARAT,2017,0.392
1600,SUMATERA SELATAN,2017,0.328
1200,SUMATERA UTARA,2017,0.335
5100,BALI,2017,0.384
7200,SULAWESI TENGAH,2017,0.367
7500,GORONTALO,2017,0.403
7100,SULAWESI UTARA,2017,0.405
7200,SULAWESI TENGAH,2017,0.309
3100,DKI JAKARTA,2017,0.413
5200,NUSA TENGGARA BARAT,2017,0.314
7200,SULAWESI TENGAH,2017,0.313
8100,MALUKU,2017,0.343
1800,LAMPUNG,2017,0.333
1600,SUMATERA SELATAN,2017,0.387
2100,KEP. RIAU,2017,0.279
2100,KEP. RIAU,2017,0.355
6200,KALIMANTAN TENGAH,2017,0.327
1700,BENGKULU,2017,0.379
3600,BANTEN,2017,0.379
7400,SULAWESI TENGGARA,2017,0.373
3600,BANTEN,2017,0.38
1600,SUMATERA SELATAN,2017,0.384
7500,GORONTALO,2017,0.398
7300,SULAWESI SELATAN,2017,0.41
3200,JAWA BARAT,2017,0.326
5100,BALI,2017,0.385
3400,DI YOGYAKARTA,2017,0.34
1900,KEP. BANGKA BELITUNG,2017,0.288
3500,JAWA TIMUR,2017,0.415
9999,INDONESIA,2017,0.32
7600,SULAWESI BARAT,2017,0.392
7100,SULAWESI UTARA,2017,0.389
1200,SUMATERA UTARA,2017,0.315
9999,INDONESIA,2017,0.391
7400,SULAWESI TENGGARA,2017,0.394
3100,DKI JAKARTA,2017,0.413
3300,JAWA TENGAH,2017,0.327
8200,MALUKU UTARA,2017,0.33
3100,DKI JAKARTA,2017,0.409
8200,MALUKU UTARA,2017,0.322
6500,KALIMANTAN UTARA,2017,0.294
6400,KALIMANTAN TIMUR,2017,0.298
9400,PAPUA,2017,0.407
6300,KALIMANTAN SELATAN,2017,0.347
8100,MALUKU,2017,0.333
1800,LAMPUNG,2017,0.297
1400,RIAU,2017,0.325
1300,SUMATERA BARAT,2017,0.336
8200,MALUKU UTARA,2017,0.317
3300,JAWA TENGAH,2017,0.386
1800,LAMPUNG,2017,0.301
1500,JAMBI,2017,0.335
5200,NUSA TENGGARA BARAT,2017,0.323
7300,SULAWESI SELATAN,2017,0.332
9100,PAPUA BARAT,2017,0.386
5300,NUSA TENGGARA TIMUR,2017,0.359
6100,KALIMANTAN BARAT,2017,0.285
1900,KEP. BANGKA BELITUNG,2017,0.236
5300,NUSA TENGGARA TIMUR,2017,0.309
7200,SULAWESI TENGAH,2017,0.379
6300,KALIMANTAN SELATAN,2017,0.347
5300,NUSA TENGGARA TIMUR,2017,0.359
8100,MALUKU,2017,0.29
7400,SULAWESI TENGGARA,2017,0.408
1900,KEP. BANGKA BELITUNG,2017,0.276
6500,KALIMANTAN UTARA,2017,0.308
5100,BALI,2017,0.302
9100,PAPUA BARAT,2017,0.349
6200,KALIMANTAN TENGAH,2017,0.31
5100,BALI,2017,0.382
2100,KEP. RIAU,2017,0.334
2100,KEP. RIAU,2017,0.327
6400,KALIMANTAN TIMUR,2017,0.28
1700,BENGKULU,2017,0.305
7100,SULAWESI UTARA,2017,0.396
7500,GORONTALO,2017,0.43
3500,JAWA TIMUR,2017,0.317
8100,MALUKU,2017,0.321
7100,SULAWESI UTARA,2017,0.355
6400,KALIMANTAN TIMUR,2017,0.323
7400,SULAWESI TENGGARA,2017,0.403
1100,ACEH,2017,0.329
6200,KALIMANTAN TENGAH,2017,0.37
6500,KALIMANTAN UTARA,2017,0.268
3600,BANTEN,2017,0.27
9999,INDONESIA,2017,0.393
3600,BANTEN,2017,0.381
1100,ACEH,2017,0.293
9400,PAPUA,2017,0.322
1400,RIAU,2017,0.343
5300,NUSA TENGGARA TIMUR,2017,0.365
1300,SUMATERA BARAT,2017,0.318
3400,DI YOGYAKARTA,2017,0.432
1800,LAMPUNG,2017,0.364
1500,JAMBI,2017,0.284
9100,PAPUA BARAT,2017,0.349
5300,NUSA TENGGARA TIMUR,2017,0.362
7200,SULAWESI TENGAH,2017,0.355
7500,GORONTALO,2017,0.417
1500,JAMBI,2017,0.379
1400,RIAU,2017,0.289
1400,RIAU,2017,0.353
6100,KALIMANTAN BARAT,2017,0.329
8200,MALUKU UTARA,2017,0.265
6500,KALIMANTAN UTARA,2017,0.296
6200,KALIMANTAN TENGAH,2017,0.303
9400,PAPUA,2017,0.302
3300,JAWA TENGAH,2017,0.365
5100,BALI,2017,0.379
6300,KALIMANTAN SELATAN,2017,0.285
3100,DKI JAKARTA,2017,0.409
2100,KEP. RIAU,2018,0.262
3100,DKI JAKARTA,2018,0.39
7500,GORONTALO,2018,0.397
1500,JAMBI,2018,0.295
7600,SULAWESI BARAT,2018,0.311
1500,JAMBI,2018,0.334
1300,SUMATERA BARAT,2018,0.262
1400,RIAU,2018,0.327
5100,BALI,2018,0.364
6400,KALIMANTAN TIMUR,2018,0.342
6500,KALIMANTAN UTARA,2018,0.278
1300,SUMATERA BARAT,2018,0.338
7300,SULAWESI SELATAN,2018,0.392
7600,SULAWESI BARAT,2018,0.421
3600,BANTEN,2018,0.283
3600,BANTEN,2018,0.385
7400,SULAWESI TENGGARA,2018,0.41
7200,SULAWESI TENGAH,2018,0.28
6400,KALIMANTAN TIMUR,2018,0.347
1700,BENGKULU,2018,0.394
7100,SULAWESI UTARA,2018,0.402
5300,NUSA TENGGARA TIMUR,2018,0.297
1300,SUMATERA BARAT,2018,0.28
3100,DKI JAKARTA,2018,0.394
9100,PAPUA BARAT,2018,0.391
3600,BANTEN,2018,0.362
3300,JAWA TENGAH,2018,0.377
1700,BENGKULU,2018,0.388
1900,KEP. BANGKA BELITUNG,2018,0.281
6400,KALIMANTAN TIMUR,2018,0.35
7300,SULAWESI SELATAN,2018,0.353
9400,PAPUA,2018,0.416
7400,SULAWESI TENGGARA,2018,0.42
7200,SULAWESI TENGAH,2018,0.331
2100,KEP. RIAU,2018,0.33
6100,KALIMANTAN BARAT,2018,0.35
3100,DKI JAKARTA,2018,0.39
1400,RIAU,2018,0.356
3200,JAWA BARAT,2018,0.322
3400,DI YOGYAKARTA,2018,0.441
5100,BALI,2018,0.381
7400,SULAWESI TENGGARA,2018,0.392
5300,NUSA TENGGARA TIMUR,2018,0.358
9999,INDONESIA,2018,0.324
1500,JAMBI,2018,0.308
