,namapemda,tahun,kode_wilayah,nilai
47,Provinsi Jawa Barat,2020,3200,32232588827098
48,Provinsi Jawa Tengah,2020,9700,23594296770611
49,Provinsi Jawa Tengah,2020,9600,23594296770611
50,Provinsi Jawa Tengah,2020,3300,23594296770611
51,Provinsi Jawa Timur,2020,3500,28118919469844
52,Provinsi Kalimantan Barat,2020,6100,7095737121000
53,Provinsi Kalimantan Selatan,2020,6300,7011975893855
54,Provinsi Kalimantan Selatan,2020,9500,7011975893855
55,Provinsi Kalimantan Tengah,2020,6200,6431308908643
56,Provinsi Kalimantan Timur,2020,6400,11434327147502
57,Provinsi Kalimantan Utara,2020,6500,3728316934559
58,Provinsi Kepulauan Riau,2020,2100,4652411493101
59,Provinsi Lampung,2020,1800,8397056418495
60,Provinsi Maluku,2020,8100,5062118232563
61,Provinsi Maluku Utara,2020,8200,4271769986964
62,Provinsi Nusa Tenggara Barat,2020,5200,6779843948521
63,Provinsi Nusa Tenggara Timur,2020,5300,8441822691459
64,Provinsi Papua,2020,9400,24570908018620
65,Provinsi Papua Barat,2020,9200,16176543848372
66,Provinsi Papua Barat,2020,9100,16176543848372
67,Provinsi Riau,2020,1400,10628733745787
68,Provinsi Sulawesi Barat,2020,7600,3329020982572
69,Provinsi Sulawesi Selatan,2020,7300,10896284791622
70,Provinsi Sulawesi Tengah,2020,7200,6188004572173
71,Provinsi Sulawesi Tenggara,2020,7400,5942017292033
72,Provinsi Sulawesi Utara,2020,7100,5131112219353
73,Provinsi Sumatera Barat,2020,1300,8230058768076
74,Provinsi Sumatera Selatan,2020,1600,11855384534274
75,Provinsi Sumatera Utara,2020,1200,14868096422062
76,Provinsi Aceh,2021,1100,22980320834181
77,Provinsi Bali,2021,5100,5673236300829
78,Provinsi Bangka Belitung,2021,1900,3469811636228
79,Provinsi Banten,2021,3600,9253288008726
80,Provinsi Bengkulu,2021,1700,4172073772992
81,Provinsi DI Yogyakarta,2021,3400,7708953158472
82,Provinsi DKI Jakarta,2021,3100,46465293314365
83,Provinsi Gorontalo,2021,7500,2948192818172
84,Provinsi Jambi,2021,1500,5804352903328
85,Provinsi Jawa Barat,2021,3200,33556290122320
86,Provinsi Jawa Tengah,2021,9700,23910038350208
87,Provinsi Jawa Tengah,2021,9600,23910038350208
88,Provinsi Jawa Tengah,2021,3300,23910038350208
89,Provinsi Jawa Timur,2021,3500,31039686979290
90,Provinsi Kalimantan Barat,2021,6100,7870938779860
91,Provinsi Kalimantan Selatan,2021,6300,6236848456765
92,Provinsi Kalimantan Selatan,2021,9500,6236848456765
93,Provinsi Kalimantan Tengah,2021,6200,6692748158162
94,Provinsi Kalimantan Timur,2021,6400,9781365950865
95,Provinsi Kalimantan Utara,2021,6500,3802986010642
96,Provinsi Kepulauan Riau,2021,2100,4871903541359
97,Provinsi Lampung,2021,1800,8451693660708
98,Provinsi Maluku,2021,8100,5482008475436
99,Provinsi Maluku Utara,2021,8200,4686484707299
100,Provinsi Nusa Tenggara Barat,2021,5200,6899859823473
101,Provinsi Nusa Tenggara Timur,2021,5300,8155435137439
102,Provinsi Papua,2021,9400,26109918483716
103,Provinsi Papua Barat,2021,9200,13989491461651
104,Provinsi Papua Barat,2021,9100,13989491461651
105,Provinsi Riau,2021,1400,10940767705071
106,Provinsi Sulawesi Barat,2021,7600,3248956512551
107,Provinsi Sulawesi Selatan,2021,7300,11052963344703
108,Provinsi Sulawesi Tengah,2021,7200,6399730110464
