namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,Dana Insentif Daerah,Dana Insentif Daerah,Realisasi,12529644500
Provinsi Aceh,Provinsi Aceh,2024,Dana Otonomi Khusus,Dana Otonomi Khusus Provinsi Aceh,Anggaran,4276993035000
Provinsi Aceh,Provinsi Aceh,2024,Dana Otonomi Khusus,Dana Otonomi Khusus Provinsi Aceh,Realisasi,4173706861750
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Anggaran,108245814000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Realisasi,67156013348
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Anggaran,6000000000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Realisasi,6000000000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Anggaran,3772768000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Realisasi,3772768000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Anggaran,355463930000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Realisasi,350391062593
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Anggaran,1242421000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Realisasi,1242421000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Anggaran,406000000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Realisasi,406000000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Anggaran,8544793000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Realisasi,8544793000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Anggaran,3325687000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Realisasi,2660549600
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Anggaran,240232542000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Realisasi,192186033600
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum,Anggaran,1275620722000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum,Realisasi,1275620722000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Anggaran,12463802000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Realisasi,12463802000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Anggaran,7853643000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Realisasi,7853643000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Anggaran,70717824000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Realisasi,61111767433
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH Cukai Hasil Tembakau,Anggaran,718663000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH Cukai Hasil Tembakau,Realisasi,697103110
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Anggaran,1058341000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Realisasi,1058341000
